,dateKind,dateName,isHoliday,locdate,seq,remarks
0,01,1월1일,Y,20220101,1,
1,01,설날,Y,20220131,1,
2,01,설날,Y,20220201,1,
3,01,설날,Y,20220202,1,
4,01,삼일절,Y,20220301,1,
5,01,대통령선거일,Y,20220309,1,
6,01,어린이날,Y,20220505,1,
7,01,부처님오신날,Y,20220508,1,
8,01,전국동시지방선거,Y,20220601,1,
9,01,현충일,Y,20220606,1,
10,01,제헌절,N,20220717,1,국경일이지만 공휴일 아님
11,01,광복절,Y,20220815,1,
12,01,추석,Y,20220909,1,
13,01,추석,Y,20220910,1,
14,01,추석,Y,20220911,1,
15,01,대체공휴일,Y,20220912,1,
16,01,개천절,Y,20221003,1,
17,01,한글날,Y,20221009,1,
18,01,대체공휴일,Y,20221010,3,
19,01,기독탄신일,Y,20221225,1,
